传播名,CPU型号,CPU核数,屏幕尺寸,屏幕色彩,分辨率,前置摄像头,后置摄像头
荣耀10青春版,Hisilicon Kirin 710*（*因使用多种封装工艺，Hisilicon Kirin 710处理器系列包含Kirin 710和Kirin 710F，功能参数一致）,八核,6.21英寸,1670万色,FHD+ 1080x2340 像素,2400万像素，f/2.0光圈，支持固定焦距。备注：不同拍照模式的照片像素可能有差异，请以实际为准。,1300万像素（主摄像头，f/1.8光圈）+200万像素，主摄像头支持自动对焦。备注：不同拍照模式的照片像素可能有差异，请以实际为准。
荣耀Magic2,HUAWEI Kirin 980（麒麟980）,八核,6.39英寸（备注：显示屏采用圆角设计，按照标准矩形测量时，屏幕的对角线长度是 6.39 英寸 （实际可视区域略小））,1670万色，色域（DCI-P3）：108%（典型值）,FHD+ 2340 x 1080 像素,1600万像素（f/2.0光圈）+ 200万像素（f/2.4光圈）+ 200万像素（f/2.4光圈），支持固定焦距。 备注：1600万像素+200万像素+200万像素三镜头，不同场景启用不同镜头，不同拍照模式的照片像素有差异，请以实际为准。,1600万像素（彩色，f/1.8光圈）+2400万像素（黑白，f/1.8光圈）+1600万像素（超广角，f/2.2光圈，支持固定焦距），支持AIS防抖。备注：不同拍照模式的照片像素可能有差异，请以实际为准。
HUAWEI Mate 20 RS 保时捷设计,HUAWEI Kirin 980 （麒麟980）,八核,6.39 英寸,1670万色，DCI-P3,2k+ 3120 x 1440 像素,前置单摄： 支持3D 深度感知相机 2400万像素，f/2.0光圈，支持固定焦距。 备注： *不同拍照模式的照片像素可能有差异，请以实际为准。 *前置摄像头采用2480万像素CMOS传感器（理论值），有效像素2400万（理论值）。,后置徕卡三摄： 4000万像素（广角，f/1.8光圈）+2000万像素（超广角，f/2.2光圈）+800万像素（长焦，f/2.4光圈），支持自动对焦（激光对焦/相位对焦/反差对焦），支持AIS防抖。 备注：不同拍照模式的照片像素可能有差异，请以实际为准。
HUAWEI Mate 20 Pro (UD),HUAWEI Kirin 980 （麒麟980）,八核,6.39英寸（备注：显示屏采用圆角设计，按照标准矩形测量时，屏幕的对角线长度是 6.39 英寸 (实际可视区域略小)）,1670万色，DCI-P3,2k+ 3120 x 1440 像素,前置单摄： 支持3D 深度感知相机 2400万像素，f/2.0光圈，支持固定焦距。 备注： *不同拍照模式的照片像素可能有差异，请以实际为准。 *前置摄像头采用2480万像素CMOS传感器（理论值），有效像素2400万（理论值）。,后置徕卡三摄： 4000万像素（广角，f/1.8光圈）+2000万像素（超广角，f/2.2光圈）+800万像素（长焦，f/2.4光圈），支持自动对焦（激光对焦/相位对焦/反差对焦），支持AIS防抖。 备注：不同拍照模式的照片像素可能有差异，请以实际为准。
HUAWEI Mate 20,HUAWEI Kirin 980 （麒麟980）,八核,6.53英寸（备注：显示屏采用圆角设计，按照标准矩形测量时，屏幕的对角线长度是 6.53 英寸 (实际可视区域略小)）,1670万色，DCI-P3,FHD+ 2244x1080 像素,前置单摄： 2400万像素，f/2.0光圈，支持固定焦距。 备注： *不同拍照模式的照片像素可能有差异，请以实际为准。 *前置摄像头采用2480万像素CMOS传感器（理论值），有效像素2400万（理论值）。,后置徕卡三摄： 1200万像素（广角，f/1.8光圈）+1600万像素（超广角，f/2.2光圈）+800万像素（长焦，f/2.4光圈），支持自动对焦（激光对焦/相位对焦/反差对焦），支持AIS防抖。 备注：不同拍照模式的照片像素可能有差异，请以实际为准。
HUAWEI Mate 20 X,HUAWEI Kirin 980 （麒麟980）,八核,7.2英寸（备注：显示屏采用圆角设计，按照标准矩形测量时，屏幕的对角线长度是 7.2 英寸 (实际可视区域略小)）,1670万色，DCI-P3,FHD+ 2244x1080 像素,前置单摄： 2400万像素，f/2.0光圈，支持固定焦距。 备注： *不同拍照模式的照片像素可能有差异，请以实际为准。 *前置摄像头采用2480万像素CMOS传感器（理论值），有效像素2400万（理论值）。,后置徕卡三摄： 4000万像素（广角，f/1.8光圈）+2000万像素（超广角，f/2.2光圈）+800万像素（长焦，f/2.4光圈），支持自动对焦（激光对焦/相位对焦/反差对焦），支持AIS防抖。 备注：不同拍照模式的照片像素可能有差异，请以实际为准。
荣耀畅玩8C,高通骁龙632,八核,6.26英寸,1670万色，色彩饱和度（NTSC）：70%（典型值）,HD+ 1520x720 像素,前置单摄： 800万像素，f/2.0光圈，支持固定焦距 备注：不同拍照模式的照片像素可能有差异，请以实际为准。,后置双摄： 1300万像素（彩色，f/1.8光圈）+200万像素（黑白，f/2.4光圈），支持自动对焦 备注：不同拍照模式的照片像素可能有差异，请以实际为准。
华为畅享 MAX,Qualcomm Snapdragon 660（高通 骁龙660）,八核,7.12英寸,1670万色,FHD+ 1080x2244 像素,800万像素，f/2.0光圈，支持固定焦距 （备注：不同拍照模式的照片像素可能有差异，请以实际为准。）,1600万像素（f/2.0光圈）+200万像素（f/2.4 光圈），支持自动对焦（相位对焦/对比度对焦） （备注：不同拍照模式的照片像素可能有差异，请以实际为准。）
华为畅享9 Plus,Hisilicon Kirin 710*（*因使用多种封装工艺，Hisilicon Kirin 710处理器系列包含Kirin 710和Kirin 710F，功能参数一致）,8核,6.5英寸（备注：显示屏采用圆角设计，按照标准矩形测量时，屏幕的对角线长度是6.5英寸（实际可视区域略小））,1670万色,FHD+ 1080x2340 像素,null,null
null,HUAWEI Kirin 710 (麒麟710),八核,6.3英寸,1670万色，色彩饱和度（NTSC）：85%（典型值）,FHD+  1080 x 2340 像素,2400万像素（彩色）像素＋200万（彩色）像素，F/2.0光圈，支持固定焦距 备注：不同拍照模式的照片像素可能有差异，请以实际为准。,2000万（彩色）像素＋200万（彩色）像素，F/1.8光圈，支持自动对焦（相位对焦/反差对焦） 备注：不同拍照模式的照片像素可能有差异，请以实际为准。
荣耀8X,Hisilicon Kirin 710* （*因使用多种封装工艺，Hisilicon Kirin 710处理器系列包含Kirin 710和Kirin 710F，功能参数一致）,八核,6.5英寸,1670万色,FHD+ 1080x2340 像素,1600万像素，f/2.0光圈，支持固定焦距。备注：不同拍照模式的照片像素可能有差异，请以实际为准,2000万＋200万像素，f/1.8光圈，支持自动对焦（相位对焦/反差对焦）。备注：不同拍照模式的照片像素可能有差异，请以实际为准
荣耀8X Max,Qualcomm Snapdragon 636（高通 骁龙636）,八核,7.12英寸,1670万色，色彩饱和度（NTSC）：72%（典型值）,FHD+ 1080x2244 像素,800万像素，f/2.0光圈，支持固定焦距。 备注：不同拍照模式的照片像素可能有差异，请以实际为准,1600万像素（f/2.0光圈）+200万像素（f/2.4 光圈），支持自动对焦（相位对焦/对比度对焦） 备注：不同拍照模式的照片像素可能有差异，请以实际为准
荣耀 Note10,Kirin 970（麒麟970）,八核+微智核i7,6.95英寸,1670万色，色彩饱和度（NTSC）：115%（Typ. CIE1976）,FHD+ 1080x2220 像素,1300万像素，F/2.0光圈，支持固定焦距。备注：不同拍照模式的照片像素可能有差异，请以实际为准。,2400万像素+1600万像素，F/1.8光圈，支持自动对焦（深度对焦/相位对焦/反差对焦）。备注：不同拍照模式的照片像素可能有差异，请以实际为准。
HUAWEI nova 3i,HUAWEI Kirin 710（麒麟710）,八核,6.3英寸（备注：显示屏采用圆角设计，按照标准矩形测量时，屏幕的对角线长度是6.3英寸（实际可视区域略小））,1670万，色彩饱和度（NTSC）：85%（典型值）,2340*1080像素,null,null
荣耀畅玩7,MT6739,4核,5.45英寸,1600万色,1440*720,null,null
HUAWEI nova 3,HUAWEI Kirin 970 (麒麟970),八核 + 微智核i7,6.3英寸,1670万色，色彩饱和度（NTSC）：85%（典型值）,2340 x 1080像素,null,null
荣耀9i,Hisilicon Kirin 659,八核,5.84英寸,1670万色,2280*1080,null,null
荣耀Play,HUAWEI Kirin 970 （麒麟970）,八核 + 微智核i7,6.3英寸,1600万色，色彩饱和度（NTSC）：85%（典型值）,2340 x 1080 像素,1600万像素（彩色，f/2.0光圈），支持固定焦距。备注：不同拍照模式的照片像素可能有差异，请以实际为准。,1600万像素（彩色，f/2.2光圈）＋200万像素（彩色，f/2.4光圈），支持自动对焦（相位对焦/反差对焦）。备注：不同拍照模式的照片像素可能有差异，请以实际为准。
华为畅享 8e 青春,MT6739,4核,5.45英寸,1670万色,1440*720,null,null
荣耀畅玩7,MT6739,4核,5.45英寸,1600万色,1440*720,null,null
